disease_uid	entrezID	source	url
AID00041	3760	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3760
AID00017	6629	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6629
AID00041	1815	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1815
AID00007	474235	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474235
AID00007	474243	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474243
AID00015	6556	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6556
AID00010	6556	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6556
AID00007	6556	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6556
AID00041	6477	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6477
AID00017	2547	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2547
AID00007	474239	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474239
AID00028	80204	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/80204
AID00007	474248	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474248
AID00017	54899	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/54899
AID00017	115650	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/115650
AID00016	59349	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/59349
AID00010	10068	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10068
AID00014	1493	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1493
AID00009	1493	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1493
AID00036	1493	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1493
AID00017	1493	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1493
AID00008	100499483	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100499483
AID00008	100499483	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100499483
AID00016	1737	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1737
AID00034	1285	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1285
AID00007	474224	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474224
AID00011	3269	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3269
AID00017	10318	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10318
AID00007	10318	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10318
AID00023	170679	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/170679
AID00021	170679	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/170679
AID00053	2694	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2694
AID00017	1773	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1773
AID00041	347862	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/347862
AID00016	8050	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8050
AID00041	9627	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/9627
AID00007	7130	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7130
AID00023	1490	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1490
AID00012	3735	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3735
AID00007	729230	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/729230
AID00030	23046	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23046
AID00002	23046	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23046
AID00023	2091	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2091
AID00023	64132	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/64132
AID00023	64132	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/64132
AID00007	3552	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3552
AID00041	3240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3240
AID00010	3240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3240
AID00029	3240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3240
AID00005	3240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3240
AID00047	4068	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4068
AID00041	23400	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23400
AID00017	7292	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7292
AID00013	8710	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8710
AID00021	100169750	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100169750
AID00021	100169750	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100169750
AID00005	4041	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4041
AID00045	843	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/843
AID00047	843	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/843
AID00041	1312	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1312
AID00035	4683	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4683
AID00007	474230	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474230
AID00047	331	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/331
AID00047	331	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/331
AID00041	5704	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5704
AID00005	257019	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/257019
AID00007	474231	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474231
AID00041	12	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/12
AID00007	871	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/871
AID00007	871	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/871
AID00002	5819	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5819
AID00021	66004	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/66004
AID00041	4929	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4929
AID00007	4929	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4929
AID00012	3376	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3376
AID00021	6347	UniPort/SwissProt	http://www.uniprot.org/uniprot/P13500
AID00007	6347	UniPort/SwissProt	http://www.uniprot.org/uniprot/P13500
AID00021	50604	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q9NYY1
AID00030	55801	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q9NPH9
AID00021	3872	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q04695
AID00041	5653	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q92876
AID00041	120892	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q5S007
AID00002	4155	UniPort/SwissProt	http://www.uniprot.org/uniprot/P02686
AID00041	135138	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q96M98
AID00021	338324	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q86SG5
AID00041	6620	UniPort/SwissProt	http://www.uniprot.org/uniprot/Q16143
AID00022	311	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/311
AID00022	283234	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/283234
AID00022	102723878	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/102723878
AID00022	100196919	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/100196919
AID00022	256815	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/256815
AID00022	50801	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/50801
AID00022	56244	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/56244
AID00022	572	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/572
